trade_date,南华商品,南华农产品,南华能化,南华黑色,南华工业品,南华金属,南华有色,南华贵金属
2006-01-04,1191.1024,918.0556,1218.9267,,1660.3865,1934.0174,,
2006-01-05,1193.2653,920.7764,1215.0534,,1663.9957,1942.0074,,
2006-01-06,1197.8082,922.8758,1227.1064,,1673.5372,1950.8502,,
2006-01-09,1194.9653,917.1138,1223.7696,,1678.9568,1960.8241,,
2006-01-10,1198.5312,915.9182,1230.5566,,1693.8586,1980.5627,,
2006-01-11,1194.8152,910.9071,1225.0223,,1693.3108,1982.8,,
2006-01-12,1193.3179,906.9236,1243.5783,,1699.0319,1981.8291,,
2006-01-13,1192.3687,901.6814,1262.4599,,1707.6436,1985.3718,,
2006-01-16,1208.1026,907.3842,1289.8056,,1744.7579,2027.9725,,
2006-01-17,1203.4341,900.9438,1279.3882,,1743.679,2031.3014,,
2006-01-18,1184.8447,890.689,1267.0175,,1706.3573,1980.1842,,
2006-01-19,1198.3738,894.5889,1297.2931,,1739.0488,2015.0506,,
2006-01-20,1197.7529,895.7258,1315.8491,,1733.8007,1998.0399,,
2006-01-23,1203.9016,900.8952,1322.36,,1741.8471,2007.0478,,
2006-01-24,1205.7268,894.8044,1359.472,,1759.7017,2016.0399,,
2006-01-25,1216.8452,900.9911,1389.0965,,1781.5605,2035.0635,,
2006-02-06,1269.9095,922.2639,1488.0619,,1906.3732,2177.6686,,
2006-02-07,1288.6265,920.5007,1557.0773,,1974.9094,2248.0772,,
2006-02-08,1246.4548,894.9664,1478.6212,,1899.7348,2172.1972,,
2006-02-09,1263.2033,898.1054,1547.962,,1946.6488,2209.7887,,
2006-02-10,1258.4792,901.2519,1502.0603,,1919.789,2190.9256,,
2006-02-13,1241.2275,899.1699,1447.0434,,1866.6051,2135.8145,,
2006-02-14,1238.8941,900.2763,1401.1417,,1854.2401,2140.447,,
2006-02-15,1244.0317,900.4378,1439.9339,,1870.1347,2146.2656,,
2006-02-16,1225.6433,899.2547,1393.4522,,1811.7646,2079.8099,,
2006-02-17,1224.0096,906.5181,1350.1901,,1784.7185,2061.4699,,
2006-02-20,1228.2573,904.423,1384.629,,1802.6904,2071.8272,,
2006-02-21,1231.5461,899.89,1397.1727,,1824.0279,2098.4462,,
2006-02-22,1227.6749,898.1126,1386.8805,,1815.7941,2090.9232,,
2006-02-23,1214.6746,890.2125,1352.1441,,1791.9285,2072.0565,,
2006-02-24,1222.8036,893.568,1383.0209,,1808.6156,2083.1674,,
2006-02-27,1207.0896,884.8045,1359.8633,,1775.7458,2044.3263,,
2006-02-28,1205.4962,886.3032,1371.7637,,1765.3354,2022.7756,,
2006-03-01,1205.5301,887.1689,1362.4364,,1762.349,2022.9021,,
2006-03-02,1217.1136,886.3963,1395.2429,,1801.2619,2066.5782,,
2006-03-03,1227.5631,889.7506,1408.7515,,1824.9692,2096.389,,
2006-03-06,1222.25,882.5868,1400.389,,1825.0914,2100.287,,
2006-03-07,1218.4781,885.295,1402.3188,,1807.3247,2072.1836,,
2006-03-08,1209.8543,882.4767,1356.9686,,1786.0875,2061.4502,,
2006-03-09,1213.9914,886.5005,1357.2903,,1791.301,2069.334,,
2006-03-10,1201.521,880.7176,1313.2266,,1764.2915,2049.4659,,
2006-03-13,1206.1749,881.7064,1311.2968,,1777.4695,2071.165,,
2006-03-14,1205.1553,877.9533,1313.5482,,1782.5827,2078.3027,,
2006-03-15,1206.1438,878.5534,1309.691,,1785.4127,2084.1764,,
2006-03-16,1199.8731,875.8818,1284.5912,,1771.4926,2075.8464,,
2006-03-17,1202.5096,868.3874,1289.528,,1798.241,2114.7384,,
2006-03-20,1217.7642,873.6617,1283.9537,,1835.2402,2175.839,,
2006-03-21,1213.0237,868.0476,1279.7995,,1832.4399,2174.0765,,
2006-03-22,1212.263,869.0464,1290.9838,,1824.9431,2155.9932,,
2006-03-23,1214.0312,867.5387,1282.995,,1835.5403,2176.2863,,
2006-03-24,1218.6092,869.6554,1296.4162,,1845.3729,2184.7823,,
2006-03-27,1224.3281,873.4181,1309.8373,,1855.2188,2192.9269,,
2006-03-28,1222.5435,871.1142,1306.0027,,1855.5185,2195.5896,,
2006-03-29,1219.105,873.2137,1298.0139,,1838.0534,2172.9859,,
2006-03-30,1223.1043,873.7807,1290.6642,,1851.7574,2198.5555,,
2006-03-31,1231.0067,874.9699,1290.6642,,1875.1212,2236.2776,,
2006-04-03,1221.3594,865.7754,1295.8372,,1863.7484,2216.3843,,
2006-04-04,1229.9243,862.081,1315.6182,,1903.4906,2269.3341,,
2006-04-05,1226.2874,861.3436,1278.976,,1894.1438,2275.2776,,
2006-04-06,1237.0835,862.9604,1297.5831,,1925.3904,2315.7221,,
2006-04-07,1238.5757,856.9961,1297.5831,,1948.6322,2351.3995,,
2006-04-10,1239.0117,850.2903,1302.0399,,1969.5962,2383.4954,,
2006-04-11,1246.6638,847.9698,1335.1481,,2003.4456,2419.4381,,
2006-04-12,1249.1771,852.4589,1353.6122,,1997.0979,2399.2358,,
2006-04-13,1250.4091,850.2698,1352.6571,,2007.3889,2416.2979,,
2006-04-14,1261.9576,853.1587,1382.2634,,2039.3355,2451.1016,,
2006-04-17,1282.523,859.6963,1416.6449,,2095.105,2520.8088,,
2006-04-18,1277.6093,855.1055,1379.7167,,2090.8621,2537.0042,,
2006-04-19,1293.4308,858.4676,1394.9973,,2139.7466,2606.1726,,
2006-04-20,1291.3277,857.7838,1412.8248,,2135.4676,2587.0825,,
2006-04-21,1270.1373,849.8218,1371.758,,2081.3689,2524.6475,,
2006-04-24,1296.5103,854.7528,1399.4542,,2161.6422,2637.9518,,
2006-04-25,1300.1882,851.6758,1365.7094,,2182.9085,2695.1348,,
2006-04-26,1312.0719,851.479,1374.9415,,2223.9383,2758.379,,
2006-04-27,1328.4951,853.5552,1366.9828,,2278.5582,2856.2713,,
2006-04-28,1323.2914,855.6928,1375.5781,,2248.5143,2799.6249,,
2006-05-08,1341.7651,858.1227,1409.9596,,2311.8409,2881.4013,,
2006-05-09,1368.5529,868.3972,1442.1127,,2376.9496,2971.2354,,
2006-05-10,1391.262,865.7999,1513.7408,,2471.5916,3080.5207,,
2006-05-11,1422.9343,870.597,1598.1028,,2581.6929,3207.4927,,
