产品名称,reg_num,fund_code
开元,S23087,179000386416
永泰,S23002,179000385008
永泰2号,S29458,179000342631
永泰3号,S34437,179000341148
永泰7号,SCK581,179000239811
晋商丰溢,S67942,179000349415
集结号FOF,S69635,179000349414
双全(证券端）,S35948,179000346802
展恒展博,SD8877,179000354107
臻选MOM,SK4573,179000252021
臻选MOM2,SCL327,179000222806
臻选MOM3,SEK754,179000217953
安盈3号,SEG833,179000186882
安兴,SEG904,179000237356
明升一期,SCY642,179000169744
定增增强,SJ5745,179000169655
先锋二号,SK6580,179000230675
先锋三号,SK6581,179000230339
永泰8号,SNL246,179000396924
永泰9号,SNL249,179000396925
永泰19号,SNM883,179000397278
永泰10号,SNU459,179000401048
永泰12号,SNV681,179000401811
永泰15号,SNY814,179000406340
永泰18号,SQH475,179000411838
永泰20号,SQU378,179000424510
永泰6号,SSG156,179000438038
慧选18号,SH8386,179000296842
建信信托-弘酬投资1期,SGT613,179000260702
外贸信托-弘酬精选FOF2期,SJH798,179000213499
华润深国投信托有限公司_弘酬添福FOF,SNF524,179000378816
山西信托·信创5号集合资金信托计划,SNG425,179000382484
外贸信托-百解10号证券投资集合资金信托计划,SNR828,179000394982
