date,相聚芒格一期复权净值,远望角投资1期复权净值,同犇智慧1号复权净值,东方点赞12号复权净值,石锋资产厚积一号复权净值,明汯稳健增长1期A复权净值,明汯稳健增长2期1号复权净值,景林丰收2号复权净值,明河优质企业复权净值,泓澄优选10号复权净值,泰旸创新成长2号复权净值,中欧瑞博7期成长价值基金复权净值,聚鸣多策略7号复权净值,无量9期私募证券投资基金复权净值,睿泉成长5号复权净值,循远成长一号复权净值,泾溪中国优质成长5号复权净值,鸣石春天十三号复权净值,因诺天丰1号私募基金复权净值,仁桥泽源2期复权净值,弘酬安盈2号复权净值,弘酬安盈3号复权净值,弘酬安兴复权净值,弘酬安盈东北证券融耀8号复权净值,朋锦永宁复权净值,沣杨锦绣3号复权净值,思勰投资金兴混合一号复权净值,河床创新成长基金复权净值,宏量鼎诚私募证券投资基金复权净值,华赢7号牧鑫1期复权净值,弘源星原1号复权净值,上海泓倍三号投资基金复权净值,展弘稳进1号9期复权净值,福瑞福元壹号复权净值,福瑞福元贰号复权净值,平石U3期权对冲私募证券投资基金复权净值,大岩定晖复权净值,衍盛量化精选一期复权净值,金锝16号复权净值,明汯中性融汇1号复权净值,因诺天机48号私募证券投资基金复权净值,启林市场中性20号私募证券投资基金复权净值,启林量化对冲多策略1号复权净值,因诺天机46号私募证券投资基金复权净值,稳博创新一号私募证券投资基金复权净值,明汯多策略对冲1号基金5期复权净值,幻方量化专享2号2期复权净值,九章量化对冲7号复权净值,中量投CTA一号私募基金复权净值,黑翼CTA三号A复权净值,蓝色天际-宽宏1号证券投资基金复权净值,思齐三十四号复权净值,黑翼CTA-T2私募证券投资基金复权净值,元盛中国多元化金选五号复权净值,黑翼策略精选2号复权净值,均成宏观对冲一号复权净值,盛冠达CTA基本面量化1号复权净值,明汯CTA白羊二号复权净值,明世伙伴胜杯28号复权净值
2018-11-02,1.4210,1.4540,1.6608,0.9697,1.5190,2.8700,1.1512,2.5289,2.5860,0.8889,1.3803,1.3786,1.0090,0.8050,,1.2849,,0.8560,0.8160,,0.9590,,,1.2046,,,,1.2494,,,,1.1893,1.0672,1.0625,,,,1.0000,1.0142,0.9701,,,,,,,,,1.0191,1.1860,1.7120,,,,,,,2.6409,
2018-11-09,1.4130,1.4520,1.6677,0.9636,1.5010,2.7660,1.1094,2.4299,2.5040,0.8663,1.3539,1.3502,1.0050,0.8060,,1.2882,,0.8490,0.8110,,0.9573,,,1.1896,,,,1.2371,,,,1.1859,1.0704,1.0618,,,,1.0000,1.0113,0.9742,,,,,,,,,1.0162,1.1752,1.7090,,,,,,,2.7192,
2018-11-16,1.4150,1.5030,1.6585,0.9794,1.5120,2.8200,1.1310,2.4770,2.5740,0.9001,1.3538,1.4278,1.0410,0.8230,,1.3072,,0.8670,0.8190,,0.9580,,,1.2256,,,,1.2697,,,,1.1860,1.0746,1.0681,,,,1.0000,1.0131,0.9674,,,,,,,,,1.0140,1.1805,1.7290,,,,,,,2.6520,
2018-11-23,1.4020,1.4900,1.6507,0.9692,1.5050,2.7140,1.0882,2.3762,2.4720,0.8653,1.3444,1.3306,1.0220,0.7710,,1.2989,,0.8460,0.8060,,0.9570,,,1.1969,,,,1.2225,,,,1.1806,1.0736,1.0694,,,,1.0000,1.0218,0.9699,,,,,,,,,1.0125,1.1887,1.7850,,,,,,,2.8772,
2018-11-30,1.4060,1.4930,1.6556,0.9749,1.5050,2.7390,1.0990,2.3987,2.5040,0.8784,1.3547,1.3559,1.0190,0.7980,,1.3042,,0.8570,0.8060,,0.9710,1.0000,,1.2108,,,,1.2270,,,,1.1729,1.0778,1.0722,,,,0.9950,1.0305,0.9752,,,,,,,,,1.0013,1.1996,1.8140,,,,,,,3.0257,
2018-12-07,1.4000,1.4850,1.6469,0.9864,1.5220,2.7420,1.0955,2.3872,2.5120,0.8682,1.3380,1.3884,1.0250,0.8090,,1.2909,,0.8666,0.8100,,0.9628,1.0000,,1.2154,,,,1.2135,,,,1.1820,1.0799,1.0750,,,,1.0290,1.0299,0.9747,,,,,,,,,1.0180,1.1728,1.8030,,,,,,,3.0583,
2018-12-14,1.3880,1.4660,1.6394,0.9836,1.5310,2.7340,1.0932,2.3903,2.5000,0.8604,1.3422,1.3941,1.0140,0.7940,,1.2879,,0.8560,0.8060,,0.9514,1.0000,,1.1963,,,,1.2146,,,,1.1837,1.0746,1.0772,,,,1.0140,1.0299,0.9698,,,,,,,,,1.0228,1.1670,1.8020,,,,,,,3.3307,
2018-12-21,1.3670,1.4460,1.6214,0.9665,1.4660,2.6270,1.0497,2.2690,2.4010,0.8200,1.2916,1.3231,0.9920,0.7720,,1.2852,,0.8450,0.8030,,0.9254,1.0000,,1.1751,,,,1.1853,,,,1.1823,1.0842,1.0798,,,,0.9930,1.0288,0.9682,,,,,,,,,1.0222,1.1809,1.8220,,,,,,,3.4205,
2018-12-28,1.3760,1.4370,1.6239,0.9630,1.5020,2.6270,1.0503,2.2852,2.4330,0.8231,1.3069,1.2951,0.9910,0.7630,,1.2856,,0.8542,0.7990,1.0001,0.9199,1.0000,,1.1724,,,,1.1865,,,,1.1797,1.0895,1.0846,,,,0.9770,1.0345,0.9773,,,,,,,,,1.0241,1.1777,1.8150,,,,,,,3.4300,
2019-01-04,1.3680,1.4310,1.6209,0.9594,1.5020,2.6450,1.0591,2.2591,2.4360,0.8134,1.3009,1.2868,0.9910,0.7700,,1.2866,,0.8461,0.8050,0.9998,0.9233,1.0000,,1.1700,,,,1.1831,,,,1.1778,1.0884,1.0857,,,,0.9880,1.0287,0.9739,,,,,,,,,1.0234,1.2135,1.7990,,,,,,,3.6209,
