date,开元复权净值,永泰复权净值,永泰2号复权净值,永泰3号复权净值,永泰7号复权净值,晋商丰溢复权净值,集结号FOF复权净值,双全(证券端）复权净值,展恒展博复权净值,臻选MOM复权净值,臻选MOM2复权净值,臻选MOM3复权净值,安盈3号复权净值,安兴复权净值,明升一期复权净值,定增增强复权净值,先锋二号复权净值,先锋三号复权净值,永泰8号复权净值,永泰9号复权净值,永泰19号复权净值,永泰10号复权净值,永泰12号复权净值,永泰15号复权净值,永泰18号复权净值,永泰20号复权净值,永泰6号复权净值,慧选18号复权净值,建信信托-弘酬投资1期复权净值,外贸信托-弘酬精选FOF2期复权净值,华润深国投信托有限公司_弘酬添福FOF复权净值,山西信托·信创5号集合资金信托计划复权净值,外贸信托-百解10号证券投资集合资金信托计划复权净值
2015-04-30,1.1270,1.2450,0.9998,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,1.1150,1.2110,0.9990,1.0371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,1.1260,1.2430,1.0063,1.0956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,1.1800,1.3220,1.0703,1.1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,1.1810,1.3250,1.0631,1.1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,1.2240,1.3840,1.1654,1.2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,1.2410,1.3940,1.2111,1.1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,1.1830,1.2714,1.0941,1.1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-21,1.1830,1.2714,1.0940,1.1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,1.1700,1.2178,1.0442,1.0984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,1.1790,1.2357,1.0366,1.1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,1.1460,1.1265,0.9485,1.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,1.1690,1.1484,0.9278,0.9454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,1.1880,1.1801,0.9525,0.9698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-24,1.1990,1.1970,0.9753,0.9806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,1.1870,1.1295,0.9364,0.9516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-07,1.1980,1.1652,0.9469,0.9595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,1.1960,1.1881,0.9701,0.9708,,,,0.9991,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,1.1840,1.0908,0.9402,0.9542,,,,0.9986,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-28,1.1790,1.0729,0.9210,0.9381,,,,0.9946,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-31,1.1780,1.0690,0.9209,0.9326,,,1.0000,0.9946,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-02,1.1780,1.0690,0.9209,0.9325,,1.0000,0.9999,0.9946,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-07,1.1750,1.0283,0.8974,0.9195,,1.0000,0.9999,0.9924,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,1.1750,1.0402,0.9113,0.9180,,0.9999,1.0028,0.9878,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,1.1690,1.0054,0.8755,0.9137,,1.0001,0.9945,0.9861,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-25,1.1680,0.9955,0.8758,0.9141,,1.0005,0.9949,0.9910,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,1.1700,0.9955,0.8757,0.9132,,1.0007,0.9945,0.9912,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,1.1740,1.0362,0.8857,0.9095,,1.0010,0.9971,0.9894,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-16,1.1840,1.0858,0.8990,0.9017,,1.0026,1.0003,0.9921,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-23,1.1890,1.0997,0.9115,0.9046,,1.0033,1.0031,0.9958,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-30,1.1850,1.0888,0.9068,0.9136,,1.0038,1.0002,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,1.1850,1.0888,0.9068,0.9136,,1.0037,1.0002,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-06,1.1940,1.1236,0.9183,0.9394,,1.0098,1.0175,1.0063,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13,1.1980,1.1126,0.9182,0.9570,,1.0154,1.0183,1.0145,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-20,1.2120,1.1404,0.9266,0.9785,,1.0226,1.0261,1.0260,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-27,1.2020,1.0977,0.9137,0.9692,,1.0185,1.0141,1.0170,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-30,1.2040,1.0977,0.9136,0.9755,,1.0209,1.0159,1.0170,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-04,1.2110,1.1345,0.9220,0.9726,,1.0205,1.0277,1.0559,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-11,1.2040,1.1176,0.9101,0.9612,,1.0167,1.0148,1.0430,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-18,1.2130,1.1454,0.9333,1.0020,,1.0207,1.0356,1.0640,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-25,1.2160,1.1672,0.9470,1.0016,,1.0190,1.0467,1.0403,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,1.2130,1.1583,0.9323,0.9884,,1.0188,1.0335,1.0381,1.0000,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,1.1950,1.0700,0.8748,0.9044,,1.0098,0.9629,1.0081,0.8894,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,1.1750,0.9856,0.8199,0.8819,,1.0060,0.9179,0.9974,0.8734,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-22,1.1750,0.9826,0.8217,0.8831,,1.0062,0.9178,0.9982,0.8736,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-29,1.1630,0.9508,0.7963,0.8787,,1.0010,0.9022,0.9907,0.8723,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-31,1.1620,0.9508,0.7963,0.8786,,1.0009,0.9021,0.9907,0.8723,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-05,1.1670,0.9737,0.8020,0.8786,,1.0061,0.9064,0.9941,0.8731,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-15,1.1670,0.9737,0.8020,0.8784,,1.0058,0.9061,0.9941,0.8731,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-19,1.1700,0.9965,0.8137,0.8827,,1.0081,0.9148,0.9941,0.8746,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-26,1.1660,0.9568,0.7994,0.8815,,1.0063,0.9019,0.9916,0.8746,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-29,1.1650,0.9568,0.7993,0.8806,,1.0055,0.9014,0.9916,0.8746,,,,,,,,,,,,,,,,,,,,,,,,
