quarter,gdp,gdp_yoy,pi,pi_yoy,si,si_yoy,ti,ti_yoy
2021Q4,1143670.0,8.1,83086.0,7.1,450904.0,8.2,609680.0,8.2
2021Q3,823131.0,9.8,51430.0,7.4,320940.0,10.6,450761.0,9.5
2021Q2,532167.0,12.7,28401.0,7.8,207154.0,14.8,296611.0,11.8
2021Q1,249310.0,18.3,11332.0,8.1,92623.0,24.4,145355.0,15.6
2020Q4,1015986.2,2.3,77754.1,3.0,384255.3,2.6,553976.8,2.1
2020Q3,722786.4,0.7,48122.5,2.3,274266.7,0.9,400397.1,0.4
2020Q2,456614.4,-1.6,26053.0,0.9,172759.0,-1.9,257802.4,-1.6
2020Q1,206504.3,-6.8,10186.2,-3.2,73638.0,-9.6,122680.1,-5.2
2019Q4,990865.1,6.1,70466.7,3.1,386165.3,5.7,534233.1,6.9
2019Q3,712845.4,6.2,43005.0,2.9,276912.5,5.6,392927.9,7.0
2019Q2,460636.7,6.3,23207.0,3.0,179122.1,5.8,258307.5,7.0
2019Q1,218062.8,6.4,8769.4,2.7,81806.5,6.1,127486.9,7.0
2018Q4,900309.5,6.6,64734.0,3.5,366000.9,5.8,469574.6,7.6
2018Q3,646710.9,6.7,39799.8,3.4,261822.8,5.8,345088.2,7.7
2018Q2,417215.4,6.8,21576.2,3.2,168558.1,6.1,227081.1,7.6
2018Q1,197920.0,6.8,8574.4,3.2,77116.7,6.3,112229.0,7.5
2017Q4,820754.3,6.8,62099.5,4.0,332742.7,5.9,425912.1,7.9
2017Q3,588405.3,6.9,39106.6,3.7,237116.1,6.3,312182.6,7.8
2017Q2,378581.1,6.9,20850.8,3.5,152358.1,6.4,205372.2,7.7
2017Q1,179403.4,6.9,8205.9,3.0,69704.3,6.4,101493.2,7.7
2016Q4,740060.8,6.7,60139.2,3.3,296547.7,6.1,383373.9,7.8
2016Q3,530183.6,6.7,38411.0,3.5,210754.8,6.1,281017.8,7.6
2016Q2,340846.0,6.7,20868.7,3.1,135115.8,6.1,184861.5,7.5
2016Q1,160967.3,6.66,8312.7,2.9,61385.1,5.9,91269.4,7.6
2015Q4,685992.9,6.9,57774.6,3.9,282040.3,6.1,346178.0,8.3
2015Q3,494272.1,6.93,36398.5,3.8,203537.4,6.1,254336.2,8.4
2015Q2,318468.4,7.0,19225.4,3.5,131872.1,6.2,167370.8,8.3
2015Q1,150593.8,7.0,7373.2,3.1,60724.7,6.3,82495.9,8.0
2014Q4,641280.6,7.3,55626.3,4.1,277571.8,7.4,308082.5,7.8
2014Q3,461090.3,7.3,35104.2,4.1,199787.4,7.6,226198.7,7.6
2014Q2,296192.5,7.4,18249.4,3.7,128762.6,7.7,149180.5,7.6
2014Q1,140270.2,7.3,7140.0,3.2,59221.5,7.6,73908.7,7.6
2013Q4,592963.2,7.8,53028.1,3.8,261956.1,8.0,277979.1,8.3
2013Q3,425190.9,7.8,33163.7,3.3,187743.6,7.9,204283.6,8.4
2013Q2,272968.2,7.7,17258.8,2.8,120993.6,7.7,134715.8,8.3
2013Q1,129449.6,7.9,6869.1,3.0,55862.3,7.8,66718.1,8.4
2012Q4,538580.0,7.7,49084.5,4.5,244643.3,8.4,244852.2,8.0
2012Q3,386767.9,7.6,31013.3,4.2,176008.8,8.3,179745.9,7.8
2012Q2,248678.3,7.7,16357.3,4.3,113751.5,8.7,118569.5,7.6
2012Q1,117357.6,8.0,6446.0,3.7,52317.4,9.5,58594.3,7.3
2011Q4,472882.0,9.3,47486.0,4.3,220413.0,10.3,204983.0,9.4
2011Q3,321219.1,9.4,30340.0,3.8,154675.3,10.8,136203.8,9.0
2011Q2,205775.4,9.6,15700.0,3.2,102605.4,10.9,87470.0,9.2
2011Q1,97101.2,9.7,5980.0,3.5,46978.2,11.1,44143.0,9.1
2010Q4,401512.8,10.4,40533.6,4.3,187383.2,12.3,173596.0,9.8
2010Q3,272626.7,10.6,25623.1,4.0,129947.2,12.6,117056.4,9.7
2010Q2,174878.8,11.1,13379.1,3.6,86261.0,13.3,75238.8,9.9
2010Q1,82613.4,12.1,5143.6,3.8,39436.1,14.5,38033.6,10.5
2009Q4,340903.0,9.2,35226.0,4.2,157638.8,9.9,148038.0,9.6
2009Q3,231303.3,8.2,22142.2,4.0,109101.2,8.1,100059.9,9.3
2009Q2,148203.6,7.5,11830.7,3.8,71702.7,7.1,64670.2,8.5
2009Q1,69816.9,6.6,4627.0,3.5,32658.5,5.8,32531.4,7.9
2008Q4,314045.4,9.6,33702.0,5.4,149003.4,9.9,131340.0,10.4
2008Q3,217026.1,10.6,21868.9,4.4,105889.2,11.2,89268.0,11.2
2008Q2,140477.8,11.0,11696.6,3.4,70543.5,11.9,58237.8,11.4
2008Q1,66283.8,11.3,4678.6,2.7,32158.4,12.0,29446.8,11.6
2007Q4,265810.3,14.2,28627.0,3.7,125831.4,15.1,111351.9,16.0
2007Q3,180101.1,14.4,17936.8,4.3,87071.1,15.2,75093.2,16.1
2007Q2,115998.9,14.5,9283.3,4.0,58013.8,15.3,48701.8,15.5
2007Q1,54755.9,14.0,3654.0,4.4,26611.0,14.8,24490.8,14.7
2006Q4,216314.4,12.7,24040.0,5.0,103719.5,13.4,88554.9,14.1
2006Q3,147341.3,12.8,15058.6,4.9,72375.0,13.7,59907.7,13.8
2006Q2,95428.5,13.1,7973.6,5.1,48127.7,14.0,39327.2,13.7
2006Q1,45315.8,12.4,3093.0,4.5,22156.3,12.9,20066.5,13.3
2005Q4,184937.4,10.3,22420.0,5.2,87598.1,12.1,74919.3,12.2
2005Q3,126657.0,10.1,14043.8,5.0,61700.7,11.6,50912.5,12.0
2005Q2,81912.6,10.0,7436.3,5.0,40997.7,11.6,33478.6,11.6
2005Q1,39117.4,10.2,2928.6,4.6,19003.0,11.5,17185.8,12.0
