month,ppi_yoy,ppi_mp_yoy,ppi_mp_qm_yoy,ppi_mp_rm_yoy,ppi_mp_p_yoy,ppi_cg_yoy,ppi_cg_f_yoy,ppi_cg_c_yoy,ppi_cg_adu_yoy,ppi_cg_dcg_yoy,ppi_mom,ppi_mp_mom,ppi_mp_qm_mom,ppi_mp_rm_mom,ppi_mp_p_mom,ppi_cg_mom,ppi_cg_f_mom,ppi_cg_c_mom,ppi_cg_adu_mom,ppi_cg_dcg_mom,ppi_accu,ppi_mp_accu,ppi_mp_qm_accu,ppi_mp_rm_accu,ppi_mp_p_accu,ppi_cg_accu,ppi_cg_f_accu,ppi_cg_c_accu,ppi_cg_adu_accu,ppi_cg_dcg_accu
202202,8.8,11.4,33.0,17.9,6.6,0.9,0.5,1.4,1.5,0.7,0.5,0.7,1.3,1.9,0.1,0.1,0.2,-0.1,0.2,-0.1,8.9,11.6,34.0,18.1,6.8,0.8,0.5,1.4,1.4,0.6
202201,9.1,11.8,35.0,18.2,7.0,0.8,0.5,1.4,1.3,0.6,-0.2,-0.2,-1.3,0.6,-0.5,0.0,-0.1,0.2,0.1,0.2,9.1,11.8,35.0,18.2,7.0,0.8,0.5,1.4,1.3,0.6
202112,10.3,13.4,44.2,19.7,8.2,1.0,1.4,1.0,1.4,0.4,-1.2,-1.6,-6.8,-1.7,-0.9,0.0,0.1,-0.3,0.1,-0.1,8.1,10.7,34.4,15.8,6.6,0.4,1.4,-0.2,0.5,-0.6
202111,12.9,17.0,60.5,25.0,10.1,1.0,1.6,1.2,1.4,0.1,0.0,-0.1,-2.1,0.9,-0.3,0.4,0.8,0.4,0.4,-0.2,7.9,10.4,33.5,15.4,6.5,0.3,1.4,-0.3,0.4,-0.7
202110,13.5,17.9,66.5,25.7,10.8,0.6,1.0,0.8,0.8,-0.1,2.5,3.3,12.1,4.4,1.8,0.1,0.2,0.3,0.3,-0.2,7.3,9.8,30.7,14.5,6.1,0.2,1.4,-0.5,0.3,-0.8
202109,10.7,14.2,49.4,20.4,8.9,0.4,0.7,0.4,0.4,0.2,1.2,1.5,5.5,1.9,0.9,0.0,-0.1,0.2,-0.1,0.0,6.7,8.9,26.7,13.2,5.6,0.2,1.5,-0.6,0.2,-0.8
202108,9.5,12.7,41.8,18.3,8.0,0.3,0.9,0.0,0.1,-0.1,0.7,0.9,3.0,0.9,0.7,0.0,0.0,0.3,0.0,-0.2,6.2,8.2,23.9,12.3,5.2,0.2,1.6,-0.7,0.2,-1.0
202107,9.0,12.0,38.7,17.9,7.5,0.3,1.0,-0.4,0.5,-0.3,0.5,0.6,5.2,0.8,0.1,0.1,0.0,0.2,0.0,0.2,5.7,7.6,21.4,11.5,4.8,0.2,1.6,-0.8,0.2,-1.1
202106,8.8,11.8,35.1,18.0,7.4,0.3,1.4,-0.8,0.3,-0.6,0.3,0.5,3.9,0.2,0.3,-0.2,-0.5,-0.3,-0.2,0.1,5.1,6.8,18.5,10.4,4.3,0.1,1.8,-0.9,0.2,-1.2
202105,9.0,12.0,36.4,18.8,7.4,0.5,2.2,-0.6,0.5,-0.8,1.6,2.1,6.5,2.1,1.7,0.1,0.0,0.0,0.4,0.1,4.4,5.8,15.4,9.0,3.7,0.1,1.8,-0.9,0.2,-1.3
202104,6.8,9.1,24.9,15.2,5.4,0.3,1.8,-0.6,0.3,-0.9,0.9,1.2,1.8,0.8,1.3,0.1,-0.3,0.2,0.3,0.4,3.3,4.4,10.7,6.7,2.8,0.0,1.7,-1.0,0.1,-1.5
202103,4.4,5.8,12.3,10.1,3.4,0.1,2.0,-0.8,0.0,-1.4,1.6,2.0,1.0,3.9,1.3,0.2,0.2,0.3,0.0,0.3,2.1,2.8,6.6,4.0,2.0,-0.1,1.7,-1.1,0.0,-1.7
202102,1.7,2.3,6.8,2.9,1.7,-0.2,1.6,-1.3,-0.1,-1.8,0.8,1.1,2.8,2.1,0.4,0.0,0.2,0.0,0.0,-0.2,1.0,1.4,3.9,1.0,1.3,-0.2,1.6,-1.3,0.0,-1.8
202101,0.3,0.5,1.0,-0.8,1.0,-0.2,1.6,-1.3,0.0,-1.8,1.0,1.2,5.5,1.8,0.7,0.2,0.7,-0.2,0.1,-0.1,0.3,0.5,1.0,-0.8,1.0,-0.2,1.6,-1.3,0.0,-1.8
202012,-0.4,-0.5,-0.4,-1.6,0.0,-0.4,0.9,-1.8,-0.4,-1.8,1.1,1.4,3.3,2.6,0.8,0.1,0.5,-0.2,0.0,-0.3,-1.8,-2.7,-5.2,-5.6,-1.3,0.5,2.9,-1.0,-0.3,-1.8
202011,-1.5,-1.8,-3.6,-4.2,-0.8,-0.8,0.1,-1.8,-0.5,-1.8,0.5,0.7,0.8,1.5,0.4,0.1,0.3,0.0,0.0,-0.2,-2.0,-2.9,-5.7,-5.9,-1.4,0.5,3.1,-1.0,-0.3,-1.8
202010,-2.1,-2.7,-5.1,-6.0,-1.2,-0.5,0.8,-1.7,-0.7,-1.8,0.0,0.1,-0.1,0.2,0.0,-0.1,-0.2,-0.1,-0.1,0.0,-2.0,-3.0,-5.9,-6.1,-1.5,0.7,3.4,-0.9,-0.3,-1.8
202009,-2.1,-2.8,-4.8,-6.2,-1.3,-0.1,2.1,-1.7,-0.8,-1.9,0.1,0.2,0.6,0.3,0.1,-0.1,0.0,-0.2,-0.1,-0.3,-2.0,-3.0,-6.0,-6.1,-1.5,0.8,3.7,-0.8,-0.3,-1.8
202008,-2.0,-3.0,-5.8,-6.4,-1.4,0.6,3.1,-1.3,-0.4,-1.5,0.3,0.4,1.6,0.5,0.2,0.1,0.2,-0.2,0.5,-0.4,-2.0,-3.0,-6.1,-6.1,-1.6,0.9,3.9,-0.7,-0.2,-1.8
202007,-2.4,-3.5,-7.1,-6.9,-1.8,0.7,3.7,-1.1,-0.8,-1.6,0.4,0.5,3.1,0.9,0.1,0.1,0.6,-0.3,-0.2,0.0,-2.0,-3.0,-6.1,-6.1,-1.6,1.0,4.0,-0.6,-0.2,-1.9
202006,-3.0,-4.2,-10.5,-8.5,-2.0,0.6,3.2,-0.8,-0.3,-1.8,0.4,0.5,4.9,0.7,0.2,0.1,0.3,-0.1,0.0,-0.1,-1.9,-3.0,-6.0,-5.9,-1.5,1.0,4.1,-0.5,-0.1,-1.9
202005,-3.7,-5.1,-14.8,-9.9,-2.4,0.5,2.9,-0.6,-0.2,-1.7,-0.4,-0.5,-1.7,-1.1,-0.2,-0.3,-0.5,-0.1,-0.1,-0.2,-1.7,-2.7,-5.0,-5.4,-1.5,1.1,4.3,-0.5,0.0,-1.9
202004,-3.1,-4.5,-11.6,-8.8,-2.2,0.9,3.7,-0.6,-0.1,-1.7,-1.3,-1.8,-7.2,-3.3,-0.7,-0.1,-0.1,-0.2,-0.1,-0.1,-1.2,-2.1,-2.5,-4.3,-1.2,1.2,4.6,-0.4,0.0,-2.0
