,沪深300,中证500,中证1000,创业板,中小100,中证100,上证50,中证全债
2004-01-02,,,,,,,1011.347,100.75
2004-01-05,,,,,,,1060.801,101.13
2004-01-06,,,,,,,1075.656,101.17
2004-01-07,,,,,,,1086.303,100.89
2004-01-08,,,,,,,1102.662,100.69
2004-01-09,,,,,,,1081.785,100.87
2004-01-12,,,,,,,1116.799,100.91
2004-01-13,,,,,,,1102.341,101.15
2004-01-14,,,,,,,1079.72,100.9
2004-01-15,,,,,,,1073.977,100.96
2004-01-16,,,,,,,1083.652,101.05
2004-01-29,,,,,,,1100.604,100.98
2004-01-30,,,,,,,1067.553,100.97
2004-02-02,,,,,,,1091.729,100.89
2004-02-03,,,,,,,1102.954,100.87
2004-02-04,,,,,,,1128.443,100.84
2004-02-05,,,,,,,1127.897,100.86
2004-02-06,,,,,,,1122.084,100.9
2004-02-09,,,,,,,1134.611,101.14
2004-02-10,,,,,,,1120.961,101.1
2004-02-11,,,,,,,1110.061,101.08
2004-02-12,,,,,,,1094.112,101.08
2004-02-13,,,,,,,1096.362,100.98
2004-02-16,,,,,,,1123.748,101.04
2004-02-17,,,,,,,1123.618,101.06
2004-02-18,,,,,,,1129.275,101.01
2004-02-19,,,,,,,1122.38,100.99
2004-02-20,,,,,,,1124.661,101.08
2004-02-23,,,,,,,1093.137,101.13
2004-02-24,,,,,,,1093.102,101.11
2004-02-25,,,,,,,1070.362,100.88
2004-02-26,,,,,,,1079.897,100.92
2004-02-27,,,,,,,1088.725,100.89
2004-03-01,,,,,,,1094.242,100.88
2004-03-02,,,,,,,1093.391,100.81
2004-03-03,,,,,,,1072.639,100.84
2004-03-04,,,,,,,1078.348,100.91
2004-03-05,,,,,,,1071.581,100.91
2004-03-08,,,,,,,1057.102,101.01
2004-03-09,,,,,,,1061.159,100.99
2004-03-10,,,,,,,1091.097,101.0
2004-03-11,,,,,,,1095.564,100.81
2004-03-12,,,,,,,1099.081,100.96
2004-03-15,,,,,,,1131.675,101.01
2004-03-16,,,,,,,1135.571,101.08
2004-03-17,,,,,,,1135.167,100.97
2004-03-18,,,,,,,1111.849,100.97
2004-03-19,,,,,,,1129.775,100.79
2004-03-22,,,,,,,1134.787,100.87
2004-03-23,,,,,,,1121.332,100.74
2004-03-24,,,,,,,1115.512,100.69
2004-03-25,,,,,,,1115.239,100.66
2004-03-26,,,,,,,1112.782,100.61
2004-03-29,,,,,,,1101.659,100.64
2004-03-30,,,,,,,1101.271,100.69
2004-03-31,,,,,,,1108.54,100.68
2004-04-01,,,,,,,1123.435,100.72
2004-04-02,,,,,,,1127.805,100.7
2004-04-05,,,,,,,1118.273,100.61
2004-04-06,,,,,,,1123.856,100.52
2004-04-07,,,,,,,1117.44,100.58
2004-04-08,,,,,,,1112.839,100.49
2004-04-09,,,,,,,1088.157,100.53
2004-04-12,,,,,,,1080.08,100.58
2004-04-13,,,,,,,1072.726,100.54
2004-04-14,,,,,,,1065.682,100.39
2004-04-15,,,,,,,1055.889,99.98
2004-04-16,,,,,,,1071.228,99.61
2004-04-19,,,,,,,1054.738,99.12
2004-04-20,,,,,,,1052.244,98.4
2004-04-21,,,,,,,1043.533,98.25
2004-04-22,,,,,,,1050.757,98.07
2004-04-23,,,,,,,1034.409,97.88
2004-04-26,,,,,,,1038.999,97.85
2004-04-27,,,,,,,1031.217,97.88
2004-04-28,,,,,,,1029.806,97.86
2004-04-29,,,,,,,1016.513,97.34
2004-04-30,,,,,,,1025.954,97.52
2004-05-10,,,,,,,996.164,97.28
2004-05-11,,,,,,,1003.898,97.04
2004-05-12,,,,,,,1025.02,97.06
2004-05-13,,,,,,,1020.998,97.29
2004-05-14,,,,,,,997.947,97.59
2004-05-17,,,,,,,981.737,97.76
2004-05-18,,,,,,,989.207,97.88
2004-05-19,,,,,,,988.922,97.83
2004-05-20,,,,,,,985.931,97.78
2004-05-21,,,,,,,994.45,97.73
2004-05-24,,,,,,,991.847,97.53
2004-05-25,,,,,,,978.595,97.84
2004-05-26,,,,,,,984.998,97.95
2004-05-27,,,,,,,1003.286,97.74
2004-05-28,,,,,,,995.637,97.77
2004-05-31,,,,,,,1001.194,97.61
2004-06-01,,,,,,,1014.174,98.37
2004-06-02,,,,,,,1001.687,98.44
2004-06-03,,,,,,,986.446,98.39
2004-06-04,,,,,,,986.225,98.15
2004-06-07,,,,,,,973.22,96.92
2004-06-08,,,,,,,954.77,96.95
2004-06-09,,,,,,,941.304,97.81
2004-06-10,,,,,,,944.254,97.8
2004-06-11,,,,,,,942.862,98.06
2004-06-14,,,,,,,924.594,97.83
2004-06-15,,,,,,,942.679,97.6
2004-06-16,,,,,,,947.163,98.18
2004-06-17,,,,,,,926.036,98.23
2004-06-18,,,,,,,910.187,98.18
2004-06-21,,,,,,,909.046,97.55
2004-06-22,,,,,,,918.798,97.75
2004-06-23,,,,,,,912.853,97.96
2004-06-24,,,,,,,906.417,98.1
2004-06-25,,,,,,,891.79,97.91
2004-06-28,,,,,,,883.755,97.79
2004-06-29,,,,,,,901.048,97.6
2004-06-30,,,,,,,897.707,97.95
2004-07-01,,,,,,,925.001,97.95
2004-07-02,,,,,,,926.617,98.03
2004-07-05,,,,,,,928.666,97.98
2004-07-06,,,,,,,931.883,98.34
2004-07-07,,,,,,,923.864,98.42
2004-07-08,,,,,,,927.035,98.31
2004-07-09,,,,,,,923.202,98.45
2004-07-12,,,,,,,904.553,98.49
2004-07-13,,,,,,,906.966,98.31
2004-07-14,,,,,,,912.191,98.31
2004-07-15,,,,,,,925.678,98.1
2004-07-16,,,,,,,946.178,98.27
2004-07-19,,,,,,,947.424,98.01
2004-07-20,,,,,,,939.225,98.04
2004-07-21,,,,,,,940.508,98.21
2004-07-22,,,,,,,913.138,98.2
2004-07-23,,,,,,,915.043,98.21
2004-07-26,,,,,,,903.751,98.22
2004-07-27,,,,,,,903.321,98.44
2004-07-28,,,,,,,906.054,98.46
