,沪深300,中证500,中证1000,创业板,中小100,中证100,上证50,中证全债
2004-01-02,1204.61,,,,,1201.351,1011.347,100.75
2004-01-09,1266.41,,,,,1277.011,1081.785,100.87
2004-01-16,1284.3,,,,,1288.176,1083.652,101.05
2004-01-30,1281.33,,,,,1279.725,1067.553,100.97
2004-02-06,1347.22,,,,,1352.945,1122.084,100.9
2004-02-13,1342.34,,,,,1328.07,1096.362,100.98
2004-02-20,1391.1,,,,,1373.509,1124.661,101.08
2004-02-27,1351.61,,,,,1339.545,1088.725,100.89
2004-03-05,1341.76,,,,,1322.899,1071.581,100.91
2004-03-12,1358.51,,,,,1352.966,1099.081,100.96
2004-03-19,1393.57,,,,,1392.629,1129.775,100.79
2004-03-26,1386.48,,,,,1380.579,1112.782,100.61
2004-04-02,1405.92,,,,,1399.805,1127.805,100.7
2004-04-09,1370.28,,,,,1353.821,1088.157,100.53
2004-04-16,1331.08,,,,,1326.912,1071.228,99.61
2004-04-23,1276.31,,,,,1278.218,1034.409,97.88
2004-04-30,1239.72,,,,,1253.202,1025.954,97.52
2004-05-14,1207.26,,,,,1218.138,997.947,97.59
2004-05-21,1209.21,,,,,1217.269,994.45,97.73
2004-05-28,1201.72,,,,,1218.879,995.637,97.77
2004-06-04,1192.78,,,,,1209.039,986.225,98.15
2004-06-11,1140.53,,,,,1158.344,942.862,98.06
2004-06-18,1103.4,,,,,1122.132,910.187,98.18
2004-06-25,1081.96,,,,,1101.37,891.79,97.91
2004-07-02,1114.94,,,,,1145.144,926.617,98.03
2004-07-09,1106.92,,,,,1135.454,923.202,98.45
2004-07-16,1132.8,,,,,1166.832,946.178,98.27
2004-07-23,1101.6,,,,,1128.827,915.043,98.21
2004-07-30,1088.68,,,,,1114.22,906.265,98.74
2004-08-06,1088.24,,,,,1114.756,911.555,98.72
2004-08-13,1077.25,,,,,1108.292,907.001,98.73
2004-08-20,1060.23,,,,,1105.892,904.827,98.68
2004-08-27,1039.24,,,,,1079.205,883.704,99.02
2004-09-03,1043.54,,,,,1075.931,879.417,98.38
2004-09-10,1015.15,,,,,1044.983,851.969,98.32
2004-09-17,1112.77,,,,,1142.596,932.315,98.78
2004-09-24,1135.97,,,,,1171.039,951.091,98.51
2004-09-30,1109.32,,,,,1144.893,924.355,98.82
2004-10-08,1131.92,,,,,1163.089,936.008,99.18
2004-10-15,1061.64,,,,,1093.388,879.718,98.97
2004-10-22,1063.14,,,,,1095.061,878.74,99.37
2004-10-29,1050.3,,,,,1075.522,870.79,99.24
2004-11-05,1033.8,,,,,1059.737,862.261,99.09
2004-11-12,1072.62,,,,,1100.87,898.166,99.51
2004-11-19,1091.37,,,,,1114.996,906.991,99.04
2004-11-26,1074.99,,,,,1094.684,889.083,99.18
2004-12-03,1058.33,,,,,1071.559,871.558,99.51
2004-12-10,1043.55,,,,,1067.339,868.427,99.96
2004-12-17,1023.0,,,,,1054.836,857.251,99.92
2004-12-24,1016.4,,,,,1047.662,851.775,99.49
2004-12-31,1000.0,,,,,1038.609,842.728,99.62
2005-01-07,983.96,997.606,1011.74,,,1015.393,823.616,100.06
2005-01-14,988.31,1000.169,1011.875,,,1021.702,829.042,100.25
2005-01-21,982.6,988.519,1006.25,,,1022.204,831.847,100.41
2005-01-28,969.21,952.413,963.005,,,1012.932,820.689,100.76
2005-02-04,1016.86,962.028,952.392,,,1075.949,872.884,101.15
2005-02-18,1006.06,964.769,964.005,,,1059.648,856.212,101.43
2005-02-25,1046.76,1024.118,1032.413,,,1093.4,878.503,101.78
2005-03-04,1023.67,1003.21,1011.361,,,1069.998,859.489,101.8
2005-03-11,1027.43,1009.434,1017.453,,,1071.499,853.898,102.14
2005-03-18,978.67,949.509,946.705,,,1028.712,821.028,103.14
2005-03-25,962.96,931.417,923.196,,,1011.89,806.425,103.35
2005-04-01,978.15,927.546,913.851,,,1033.83,822.91,103.74
2005-04-08,1003.45,949.457,931.379,,,1057.654,838.056,104.03
2005-04-15,974.08,913.271,887.932,,,1031.23,817.094,104.63
2005-04-22,939.1,857.401,806.645,,,1001.738,794.819,104.55
2005-04-29,932.4,847.611,802.279,,,996.186,789.732,104.89
2005-05-13,887.54,814.878,779.491,,,946.008,757.304,105.22
2005-05-20,882.76,819.13,787.901,,,937.568,753.071,105.93
2005-05-27,849.51,790.998,767.274,,,899.163,724.522,106.12
2005-06-03,818.03,765.967,756.907,,,865.499,700.434,106.2
2005-06-10,894.56,831.605,819.996,,,949.918,766.663,106.62
2005-06-17,880.35,800.137,790.55,,,938.225,762.178,107.5
2005-06-24,898.3,813.203,799.695,,,955.533,772.319,107.83
2005-07-01,859.49,760.352,743.115,,,922.833,748.046,107.98
2005-07-08,829.49,722.854,706.735,,,896.44,727.556,108.52
2005-07-15,841.0,714.488,690.491,,,918.247,748.519,109.06
2005-07-22,859.69,721.445,694.294,,,941.548,768.724,109.23
2005-07-29,888.16,744.825,722.873,,,967.409,788.632,109.82
2005-08-05,923.8,787.819,772.151,,,1000.583,812.329,109.9
2005-08-12,938.32,816.386,803.443,,,1014.429,822.329,109.72
2005-08-19,923.04,820.869,827.464,,,1004.293,817.685,109.92
2005-08-26,928.26,840.431,848.024,,,1008.178,822.197,110.0
2005-09-02,947.87,872.485,880.862,,,1022.916,829.463,110.11
2005-09-09,949.07,879.503,887.997,,,1018.642,823.639,110.38
2005-09-16,967.5,917.638,930.411,,,1029.116,830.621,110.74
2005-09-23,916.15,868.549,874.667,,,977.523,793.163,110.83
2005-09-30,917.39,869.509,870.957,,,980.83,793.652,111.13
2005-10-14,904.83,876.053,876.262,,,963.211,777.492,111.71
2005-10-21,904.41,895.027,897.639,,,960.19,774.058,111.94
2005-10-28,867.73,825.063,806.557,,,925.148,749.964,111.48
2005-11-04,878.36,835.122,826.766,,,938.781,758.924,111.33
2005-11-11,864.79,823.956,822.673,,,924.456,746.45,110.6
2005-11-18,882.24,843.738,848.778,,,942.42,760.566,110.65
2005-11-25,884.11,841.13,847.343,,,947.972,766.678,110.44
2005-12-02,869.94,817.864,821.715,,,937.582,757.021,110.76
2005-12-09,887.36,819.2,816.955,,,960.092,777.031,111.12
2005-12-16,902.56,834.537,831.961,,,973.535,782.04,111.5
2005-12-23,915.89,845.589,834.717,,,986.807,791.441,111.75
2005-12-30,923.45,860.131,842.736,,,1000.0,796.396,111.41
2006-01-06,970.03,891.94,872.818,,,1043.239,836.895,111.61
2006-01-13,978.81,932.499,904.611,,,1058.453,831.136,112.53
2006-01-20,993.34,952.769,908.661,,,1062.616,840.376,112.86
2006-01-25,1009.6,957.787,887.718,,1430.02,1066.551,846.989,112.8
2006-02-10,1032.34,980.801,925.088,,1485.81,1087.259,859.97,113.11
2006-02-17,1020.37,949.993,907.709,,1440.05,1090.949,857.994,113.19
2006-02-24,1049.44,967.163,926.622,,1442.34,1117.145,882.777,113.07
2006-03-03,1041.68,954.457,918.007,,1439.12,1111.474,880.371,113.26
2006-03-10,1008.9,921.683,885.414,,1397.12,1078.032,857.143,113.49
2006-03-17,1024.02,943.725,899.39,,1424.81,1100.339,863.267,113.52
2006-03-24,1042.6,974.269,921.306,,1473.56,1116.554,869.439,113.27
2006-03-31,1061.09,1000.251,923.189,,1506.01,1125.621,878.366,113.37
2006-04-07,1103.15,1068.11,961.437,,1591.73,1161.086,897.312,113.22
2006-04-14,1118.61,1088.183,977.089,,1631.31,1148.621,910.633,113.01
2006-04-21,1149.16,1102.547,972.541,,1681.9,1194.929,939.873,112.85
2006-04-28,1172.35,1141.685,965.291,,1721.62,1231.11,964.446,112.94
2006-05-12,1296.26,1283.677,1066.17,,1930.06,1298.939,1050.958,113.31
2006-05-19,1366.1,1365.647,1153.64,,2107.81,1408.484,1096.206,113.34
2006-05-26,1331.02,1355.501,1170.277,,2020.9,1347.733,1064.128,113.39
2006-06-02,1390.12,1457.763,1287.824,,2225.94,1407.805,1097.509,113.17
2006-06-09,1294.19,1346.481,1214.086,,2091.36,1325.577,1031.458,112.94
2006-06-16,1318.01,1382.41,1254.813,,2232.63,1342.937,1047.332,112.81
2006-06-23,1339.45,1430.513,1297.753,,2190.48,1359.36,1061.412,112.42
2006-06-30,1393.96,1485.995,1336.66,,2231.11,1418.338,1102.696,112.73
2006-07-07,1410.43,1541.253,1383.647,,2256.15,1418.3,1099.06,112.79
2006-07-14,1357.13,1470.467,1325.635,,2186.49,1365.409,1059.255,112.88
2006-07-21,1356.03,1493.036,1352.62,,2194.9,1360.775,1056.627,112.73
2006-07-28,1341.39,1492.114,1366.579,,2123.43,1343.458,1050.639,112.76
2006-08-04,1241.91,1354.778,1221.196,,1898.85,1264.859,990.834,112.73
2006-08-11,1275.65,1398.011,1261.147,,1954.97,1291.449,1011.639,112.78
2006-08-18,1267.87,1384.899,1246.437,,1912.58,1288.214,1008.047,113.04
2006-08-25,1295.44,1421.095,1286.58,,2012.06,1315.341,1028.287,113.07
2006-09-01,1318.1,1451.95,1310.68,,2091.64,1334.348,1033.739,113.07
2006-09-08,1332.15,1473.922,1337.717,,2114.58,1348.491,1050.8,113.16
2006-09-15,1362.32,1484.687,1354.517,,2092.2,1397.229,1094.149,113.34
2006-09-22,1374.85,1509.385,1376.903,,2180.92,1402.342,1094.179,113.62
2006-09-29,1403.27,1550.803,1411.509,,2202.39,1427.969,1115.718,114.13
2006-10-13,1430.88,1575.861,1442.024,,2209.76,1461.675,1149.579,114.41
2006-10-20,1440.18,1587.902,1444.568,,2193.96,1470.243,1152.313,114.56
2006-10-27,1439.05,1530.26,1387.603,,2144.48,1494.935,1164.574,114.7
2006-11-03,1488.29,1549.655,1405.003,,2106.97,1552.365,1219.003,114.85
2006-11-10,1504.06,1498.871,1353.478,,2079.75,1604.33,1262.529,114.78
