trade_date,采掘,化工,钢铁,有色金属,建筑材料,建筑装饰,电气设备,机械设备,国防军工,汽车,家用电器,纺织服装,轻工制造,商业贸易,农林牧渔,食品饮料,休闲服务,医药生物,公用事业,交通运输,房地产,电子,计算机,传媒,通信,银行,非银金融,综合
2000-01-28,1330.06,1082.05,1083.06,1168.21,,,,,,,1130.98,1119.34,1120.25,1247.55,1216.79,1145.8,1166.6,1150.49,1135.44,1100.44,1146.88,1234.92,,,,,,1220.55
2000-02-29,1391.97,1203.65,1141.95,1213.31,,,,,,,1189.96,1224.02,1241.34,1404.43,1493.42,1220.04,1360.6,1290.61,1296.69,1279.83,1305.27,1409.85,,,,,,1374.84
2000-03-31,1577.92,1302.26,1238.12,1333.83,,,,,,,1249.55,1416.52,1335.3,1440.37,1537.94,1277.41,1505.4,1357.69,1389.67,1324.47,1375.7,1448.55,,,,,,1390.26
2000-04-28,1484.73,1314.99,1311.49,1350.55,,,,,,,1238.94,1401.68,1347.92,1489.95,1619.77,1293.71,1483.14,1374.81,1446.34,1385.25,1411.46,1432.03,,,,,,1402.45
2000-05-31,1815.62,1358.49,1456.24,1373.59,,,,,,,1221.97,1457.01,1401.82,1513.87,1614.32,1314.24,1547.44,1478.79,1494.44,1446.22,1454.02,1476.58,,,,,,1470.04
2000-06-30,1938.0,1408.0,1463.44,1472.79,,,,,,,1264.02,1439.76,1409.48,1518.83,1603.62,1375.31,1567.61,1555.86,1559.32,1490.85,1512.63,1526.74,,,,,,1483.49
2000-07-31,2067.89,1476.32,1620.72,1552.48,,,,,,,1246.81,1520.26,1535.61,1593.66,1705.02,1430.35,1623.43,1597.22,1587.49,1527.97,1561.77,1602.78,,,,,,1558.95
2000-08-31,1992.93,1471.12,1585.7,1565.02,,,,,,,1225.23,1517.92,1597.15,1602.15,1765.19,1433.65,1638.43,1608.79,1550.53,1510.32,1529.68,1603.22,,,,,,1543.43
2000-09-29,1991.3,1411.69,1490.02,1531.47,,,,,,,1174.26,1492.48,1488.82,1553.47,1722.64,1363.08,1586.24,1544.66,1437.05,1411.33,1460.58,1544.89,,,,,,1424.88
2000-10-31,2065.99,1480.74,1555.32,1577.69,,,,,,,1195.63,1514.37,1524.3,1607.04,1734.6,1378.88,1619.19,1589.5,1505.83,1415.45,1498.47,1565.85,,,,,,1438.23
2000-11-30,2060.49,1572.63,1630.97,1699.56,,,,,,,1242.19,1610.11,1607.67,1689.61,1802.3,1481.56,1715.09,1695.91,1545.86,1483.76,1591.39,1661.43,,,,,,1524.53
2000-12-29,1994.02,1587.47,1607.51,1753.39,,,,,,,1195.26,1624.59,1605.42,1678.7,1793.34,1504.87,1754.19,1714.62,1529.45,1493.66,1598.51,1701.49,,,,,,1504.83
2001-01-19,2064.93,1604.17,1670.41,1685.38,,,,,,,1137.17,1631.04,1602.19,1655.05,1742.52,1491.55,1647.66,1707.54,1521.78,1495.87,1625.04,1627.33,,,,,,1466.83
2001-02-28,1911.32,1515.46,1651.48,1671.54,,,,,,,1069.95,1524.49,1502.14,1573.32,1659.28,1419.98,1540.86,1587.88,1435.62,1424.37,1500.46,1511.29,,,,,,1357.31
2001-03-30,2008.65,1645.72,1733.67,1770.45,,,,,,,1178.46,1664.74,1598.58,1692.13,1758.7,1533.57,1698.58,1695.83,1543.27,1516.51,1618.42,1580.77,,,,,,1454.34
2001-04-30,1935.44,1647.12,1692.38,1764.04,,,,,,,1125.85,1638.91,1586.36,1671.39,1734.16,1521.04,1706.85,1685.36,1494.79,1513.47,1618.59,1563.52,,,,,,1501.84
2001-05-31,2021.74,1734.18,1699.31,1813.99,,,,,,,1157.69,1708.27,1683.17,1772.73,1794.46,1599.3,1807.45,1755.4,1514.69,1545.3,1668.04,1561.36,,,,,,1590.33
2001-06-29,2123.81,1756.38,1724.74,1756.13,,,,,,,1150.75,1770.07,1675.4,1783.25,1760.01,1629.2,1817.16,1769.92,1545.7,1567.52,1685.44,1542.96,,,,,,1600.46
2001-07-31,1789.21,1509.1,1533.5,1492.91,,,,,,,965.7,1581.62,1429.47,1531.79,1523.03,1436.26,1579.17,1524.26,1332.13,1407.1,1528.91,1300.84,,,,,,1384.84
2001-08-31,1697.23,1444.32,1453.6,1411.33,,,,,,,922.77,1518.67,1361.12,1499.07,1518.99,1416.63,1537.86,1480.1,1305.43,1368.64,1472.85,1222.7,,,,,,1343.71
2001-09-28,1677.03,1364.43,1387.95,1375.92,,,,,,,899.52,1442.26,1293.33,1428.51,1244.33,1343.45,1451.01,1423.91,1236.85,1288.49,1384.41,1168.88,,,,,,1262.01
2001-10-31,1513.03,1283.84,1322.12,1241.45,,,,,,,912.31,1428.74,1256.89,1335.55,1161.77,1273.13,1308.38,1320.58,1198.35,1236.86,1308.19,1133.82,,,,,,1172.59
2001-11-30,1589.31,1341.96,1374.57,1301.06,,,,,,,922.48,1458.79,1299.03,1401.85,1182.96,1321.59,1404.58,1378.39,1262.3,1297.66,1371.77,1164.38,,,,,,1188.4
2001-12-31,1539.8,1253.35,1312.98,1217.77,,,,,,,872.94,1360.43,1218.51,1303.93,1098.48,1288.45,1284.02,1335.25,1191.23,1228.01,1272.84,1107.53,,,,,,1107.98
2002-01-31,1444.06,1082.01,1237.74,1064.15,,,,,,,780.59,1214.32,1073.71,1130.07,935.37,1186.46,1163.84,1203.43,1096.25,1131.83,1127.76,947.69,,,,,,971.31
2002-02-28,1476.17,1115.19,1269.32,1101.59,,,,,,,806.52,1250.81,1109.03,1164.68,981.21,1200.69,1196.41,1232.09,1122.63,1168.47,1178.01,967.55,,,,,,1003.93
2002-03-29,1529.45,1207.91,1309.61,1183.01,,,,,,,820.2,1341.39,1210.02,1254.04,1065.94,1270.31,1290.18,1310.72,1189.84,1228.23,1303.39,1023.67,,,,,,1098.61
2002-04-30,1584.35,1255.86,1360.06,1201.13,,,,,,,855.33,1407.54,1245.1,1323.25,1105.01,1296.63,1359.02,1364.07,1241.41,1276.96,1358.48,1073.05,,,,,,1130.8
2002-05-31,1420.15,1149.67,1252.69,1078.69,,,,,,,782.28,1292.43,1138.07,1204.6,1000.4,1217.65,1237.21,1247.01,1125.89,1161.13,1227.31,959.39,,,,,,1051.65
2002-06-28,1578.33,1299.64,1452.95,1241.68,,,,,,,908.93,1430.82,1256.61,1349.23,1106.58,1339.87,1367.87,1373.77,1285.75,1353.54,1425.98,1116.73,,,,,,1174.92
2002-07-31,1494.31,1249.57,1364.46,1176.85,,,,,,,831.95,1369.07,1227.04,1320.18,1052.68,1297.71,1327.42,1368.53,1228.46,1296.1,1339.94,1051.88,,,,,,1126.14
