trade_date,采掘,化工,钢铁,有色金属,建筑材料,建筑装饰,电气设备,机械设备,国防军工,汽车,家用电器,纺织服装,轻工制造,商业贸易,农林牧渔,食品饮料,休闲服务,医药生物,公用事业,交通运输,房地产,电子,计算机,传媒,通信,银行,非银金融,综合
2002-04-12,1596.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-19,1551.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-26,1568.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-30,1584.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-10,1552.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-17,1487.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-24,1455.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-31,1420.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-07,1428.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-14,1393.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-21,1463.02,1190.24,1312.0,1120.18,,,,,,,810.4,1338.93,1178.65,1251.97,1036.16,1250.71,1294.3,1281.41,1181.44,1218.17,1294.14,1010.35,,,,,,1090.52
2002-06-28,1578.33,1299.64,1452.95,1241.68,,,,,,,908.93,1430.82,1256.61,1349.23,1106.58,1339.87,1367.87,1373.77,1285.75,1353.54,1425.98,1116.73,,,,,,1174.92
2002-07-05,1557.9,1298.1,1427.09,1235.77,,,,,,,886.23,1423.34,1265.88,1354.68,1100.69,1339.95,1371.1,1379.33,1272.75,1342.61,1415.42,1112.46,,,,,,1165.25
2002-07-12,1527.32,1286.05,1409.74,1212.34,,,,,,,872.24,1412.76,1259.43,1348.77,1085.43,1323.84,1370.94,1382.51,1254.94,1326.44,1399.29,1089.33,,,,,,1160.55
2002-07-19,1533.8,1293.3,1411.95,1219.53,,,,,,,878.67,1414.8,1266.24,1362.38,1092.17,1337.14,1379.34,1403.5,1263.55,1337.47,1406.36,1102.29,,,,,,1163.94
2002-07-26,1491.92,1253.12,1366.22,1175.01,,,,,,,843.28,1368.34,1228.74,1322.05,1058.99,1304.12,1341.03,1370.24,1234.12,1299.88,1348.92,1061.58,,,,,,1132.33
2002-08-02,1500.26,1256.46,1368.34,1177.91,,,,,,,836.92,1376.79,1237.14,1330.74,1056.88,1304.02,1333.05,1371.48,1232.75,1298.9,1341.29,1051.91,,,,,,1128.35
2002-08-09,1490.64,1245.52,1358.77,1170.78,,,,,,,826.59,1366.37,1224.13,1320.32,1054.25,1294.62,1328.49,1365.98,1223.12,1293.0,1333.17,1051.19,,,,,,1130.27
2002-08-16,1497.99,1248.44,1363.39,1164.49,,,,,,,829.56,1368.33,1228.41,1318.25,1055.8,1298.72,1329.49,1374.51,1217.6,1297.5,1334.98,1048.39,,,,,,1126.64
2002-08-23,1519.82,1272.74,1380.67,1195.32,,,,,,,845.52,1389.0,1248.03,1343.37,1074.82,1312.47,1348.72,1395.04,1243.77,1320.32,1357.65,1075.11,,,,,,1149.08
2002-08-30,1497.96,1263.06,1364.52,1182.9,,,,,,,832.38,1375.86,1237.55,1335.21,1066.28,1294.8,1341.0,1387.8,1239.72,1304.86,1338.52,1051.41,,,,,,1137.5
2002-09-06,1486.49,1238.06,1338.96,1164.39,,,,,,,816.34,1352.31,1211.86,1306.05,1046.52,1272.96,1324.92,1360.95,1215.08,1274.79,1306.88,1034.96,,,,,,1112.22
2002-09-13,1476.22,1230.97,1327.37,1162.54,,,,,,,803.77,1340.37,1210.51,1298.47,1047.98,1259.81,1336.44,1356.97,1204.08,1260.54,1289.54,1029.06,,,,,,1104.01
2002-09-20,1436.47,1212.06,1310.62,1146.77,,,,,,,787.05,1324.08,1191.4,1279.08,1022.6,1252.82,1325.05,1345.87,1194.24,1250.36,1282.64,1019.97,,,,,,1089.74
2002-09-27,1418.05,1190.68,1299.82,1120.08,,,,,,,770.1,1313.57,1172.95,1262.17,996.51,1238.92,1294.71,1320.4,1180.27,1236.56,1261.49,995.13,,,,,,1067.21
2002-10-11,1367.14,1145.18,1251.44,1078.51,,,,,,,747.52,1271.19,1131.24,1226.84,960.83,1200.1,1246.36,1270.04,1119.77,1180.64,1222.19,946.76,,,,,,1026.13
2002-10-18,1355.39,1136.75,1253.58,1076.67,,,,,,,743.24,1262.78,1126.11,1218.27,960.54,1175.73,1239.2,1268.99,1102.93,1174.0,1222.73,951.64,,,,,,1019.4
2002-10-25,1357.93,1136.72,1259.3,1073.72,,,,,,,752.49,1247.23,1131.56,1216.39,964.7,1170.28,1242.16,1267.69,1096.52,1174.86,1218.74,949.48,,,,,,1019.71
2002-11-01,1345.36,1127.26,1256.28,1059.52,,,,,,,754.49,1235.45,1100.16,1197.08,950.95,1158.27,1231.09,1250.68,1088.61,1180.05,1207.49,933.37,,,,,,1000.68
2002-11-08,1336.71,1128.24,1257.13,1064.15,,,,,,,752.32,1233.97,1101.95,1200.93,951.32,1157.02,1231.32,1253.66,1088.95,1182.49,1206.19,949.57,,,,,,996.14
2002-11-15,1269.17,1070.81,1207.49,1024.88,,,,,,,713.2,1171.96,1051.68,1135.32,912.04,1115.37,1167.29,1207.15,1056.96,1136.12,1134.95,920.34,,,,,,937.05
2002-11-22,1199.45,1009.78,1150.67,965.5,,,,,,,665.4,1126.73,1016.41,1065.87,864.03,1076.18,1116.15,1151.31,1000.68,1073.88,1073.44,870.79,,,,,,880.31
2002-11-29,1231.77,1043.52,1184.73,990.16,,,,,,,683.67,1159.71,1038.83,1102.5,890.52,1107.03,1146.41,1180.21,1025.8,1105.62,1119.68,901.31,,,,,,920.74
2002-12-06,1208.71,1021.64,1158.39,968.46,,,,,,,667.94,1138.76,1018.22,1080.98,872.85,1094.03,1128.51,1161.61,1004.95,1083.83,1102.81,882.91,,,,,,900.05
2002-12-13,1198.67,1017.19,1156.23,964.73,,,,,,,664.86,1128.2,1018.37,1075.8,874.24,1092.54,1133.53,1156.72,1004.37,1077.55,1099.24,881.37,,,,,,895.39
2002-12-20,1242.33,1045.07,1182.02,992.3,,,,,,,680.32,1156.29,1044.51,1103.42,902.24,1120.19,1162.62,1191.33,1030.95,1101.39,1119.34,903.9,,,,,,918.42
2002-12-27,1200.42,1011.57,1143.02,964.23,,,,,,,649.27,1123.26,1020.24,1063.1,861.04,1088.81,1122.32,1168.85,995.69,1060.78,1080.3,865.18,,,,,,884.92
2003-01-03,1141.57,969.49,1099.39,904.21,,,,,,,623.3,1076.62,986.03,1015.84,828.5,1050.52,1074.64,1116.1,950.2,1012.12,1030.57,823.01,,,,,,857.0
2003-01-10,1194.12,1015.54,1154.11,955.04,,,,,,,657.94,1120.96,1028.63,1062.13,868.36,1085.97,1122.76,1164.5,991.88,1062.92,1076.12,870.84,,,,,,897.97
2003-01-17,1268.69,1079.45,1222.97,1011.83,,,,,,,702.15,1182.2,1077.92,1111.64,911.17,1138.02,1178.84,1221.91,1053.74,1121.25,1134.6,934.01,,,,,,964.01
2003-01-24,1282.83,1085.46,1222.73,1011.97,,,,,,,695.49,1168.46,1072.59,1108.8,910.17,1133.64,1182.89,1217.94,1046.72,1113.12,1126.46,925.48,,,,,,950.36
2003-01-29,1304.23,1094.89,1244.77,1026.62,,,,,,,702.88,1185.29,1091.46,1120.28,926.82,1151.28,1208.12,1230.58,1064.53,1133.37,1145.85,937.95,,,,,,962.32
2003-02-14,1331.95,1121.43,1252.89,1041.02,,,,,,,713.51,1197.01,1110.32,1130.36,935.71,1164.84,1231.06,1240.47,1074.84,1146.2,1166.07,946.16,,,,,,978.39
2003-02-21,1293.67,1093.3,1238.83,1021.91,,,,,,,695.54,1168.33,1085.39,1112.9,912.66,1141.14,1196.52,1212.43,1059.09,1125.89,1142.66,926.87,,,,,,963.61
2003-02-28,1321.59,1119.11,1264.72,1039.16,,,,,,,710.0,1187.96,1102.76,1130.74,926.11,1155.49,1225.73,1230.26,1078.04,1144.64,1169.48,945.38,,,,,,974.51
2003-03-07,1293.73,1100.58,1249.5,1018.67,,,,,,,695.8,1169.15,1091.71,1117.03,907.41,1137.91,1220.93,1210.44,1059.87,1139.65,1154.2,927.84,,,,,,955.0
2003-03-14,1257.92,1081.11,1231.03,1001.94,,,,,,,675.32,1144.29,1074.35,1093.4,885.45,1114.96,1206.09,1191.6,1037.92,1119.74,1128.65,901.33,,,,,,930.19
2003-03-21,1255.77,1079.97,1238.63,999.14,,,,,,,674.47,1139.02,1078.06,1089.31,879.02,1117.41,1203.83,1199.55,1045.98,1125.81,1126.85,895.58,,,,,,929.33
