trade_date,沪市交易量,深市交易量
2005-10-24,80.79,
2005-10-25,79.91,
2005-10-26,86.47,53.93
2005-10-27,80.37,44.62
2005-10-28,79.65,46.24
2005-10-31,64.71,39.79
2005-11-01,62.89,40.67
2005-11-02,81.15,51.98
2005-11-03,75.03,45.24
2005-11-04,59.31,39.7
2005-11-07,54.43,37.74
2005-11-08,66.88,39.2
2005-11-09,74.6,48.72
2005-11-10,70.85,52.43
2005-11-11,53.54,41.06
2005-11-14,38.69,29.54
2005-11-15,53.17,38.21
2005-11-16,53.43,32.42
2005-11-17,51.19,32.97
2005-11-18,96.96,66.61
2005-11-21,64.5,43.65
2005-11-22,59.32,36.11
2005-11-23,49.7,30.42
2005-11-24,70.27,38.12
2005-11-25,61.56,32.15
2005-11-28,53.88,29.77
2005-11-29,48.31,29.24
2005-11-30,45.97,40.29
2005-12-01,40.24,30.82
2005-12-02,46.22,42.84
2005-12-05,47.61,39.32
2005-12-06,48.44,31.03
2005-12-07,45.64,29.31
2005-12-08,46.42,36.8
2005-12-09,60.46,42.64
2005-12-12,54.19,40.65
2005-12-13,51.6,38.44
2005-12-14,69.95,45.76
2005-12-15,75.64,50.58
2005-12-16,57.98,41.79
2005-12-19,51.59,33.87
2005-12-20,52.6,35.27
2005-12-21,55.74,33.95
2005-12-22,51.53,32.75
2005-12-23,65.8,42.12
2005-12-26,85.33,53.49
2005-12-27,70.87,42.03
2005-12-28,65.61,40.7
2005-12-29,106.47,66.32
2005-12-30,101.28,57.2
2006-01-04,119.01,58.82
2006-01-05,146.2,87.03
2006-01-06,169.5,97.72
2006-01-09,139.99,85.21
2006-01-10,132.88,78.15
2006-01-11,148.33,86.72
2006-01-12,126.85,85.1
2006-01-13,130.4,87.12
2006-01-16,118.42,76.26
2006-01-17,93.1,60.8
2006-01-18,119.42,80.86
2006-01-19,143.7,97.23
2006-01-20,156.51,92.5
2006-01-23,137.06,88.06
2006-01-24,152.86,96.91
2006-01-25,132.52,83.88
2006-02-06,144.55,91.31
2006-02-07,190.72,119.1
2006-02-08,160.12,83.94
2006-02-09,137.54,80.23
2006-02-10,128.63,78.37
2006-02-13,126.88,78.64
2006-02-14,109.31,70.8
2006-02-15,145.97,79.7
2006-02-16,155.04,91.81
2006-02-17,124.44,72.98
2006-02-20,102.63,76.12
2006-02-21,126.67,83.07
2006-02-22,133.61,79.42
2006-02-23,105.49,68.94
2006-02-24,111.55,68.92
2006-02-27,130.83,65.79
2006-02-28,115.62,57.5
2006-03-01,115.94,64.82
2006-03-02,144.67,82.82
2006-03-03,123.14,67.16
2006-03-06,95.34,55.04
2006-03-07,103.82,59.83
2006-03-08,91.35,53.56
2006-03-09,74.87,39.11
2006-03-10,69.49,40.2
2006-03-13,66.13,40.23
2006-03-14,70.6,37.05
2006-03-15,92.97,49.24
2006-03-16,91.69,50.77
2006-03-17,90.26,55.74
2006-03-20,96.38,52.74
2006-03-21,118.29,68.28
2006-03-22,108.22,73.73
2006-03-23,125.24,82.52
2006-03-24,122.59,81.11
2006-03-27,101.78,68.34
2006-03-28,117.01,84.97
2006-03-29,170.74,108.71
2006-03-30,133.67,90.0
2006-03-31,138.46,87.0
2006-04-03,173.35,116.86
2006-04-04,196.88,126.48
2006-04-05,197.78,131.4
2006-04-06,216.95,144.8
2006-04-07,205.18,135.31
2006-04-10,203.2,135.93
2006-04-11,225.01,146.13
2006-04-12,184.5,129.89
2006-04-13,199.58,141.72
2006-04-14,178.33,117.62
2006-04-17,200.79,134.84
2006-04-18,180.01,131.34
2006-04-19,212.44,131.56
2006-04-20,234.74,145.3
2006-04-21,246.15,153.0
2006-04-24,282.95,164.64
2006-04-25,242.14,152.98
2006-04-26,276.93,167.45
2006-04-27,209.81,131.17
2006-04-28,248.63,159.73
2006-05-08,290.13,162.25
2006-05-09,359.89,219.41
2006-05-10,356.13,236.48
2006-05-11,424.7,264.08
2006-05-12,411.37,219.96
2006-05-15,520.52,295.41
2006-05-16,529.53,341.23
2006-05-17,426.79,255.53
2006-05-18,353.13,217.17
2006-05-19,412.15,235.35
2006-05-22,434.49,242.27
2006-05-23,386.72,221.32
2006-05-24,326.74,220.7
2006-05-25,228.57,143.46
2006-05-26,241.82,156.89
2006-05-29,291.93,183.16
2006-05-30,317.54,204.99
2006-05-31,329.35,217.41
2006-06-01,382.81,229.27
2006-06-02,447.39,268.2
2006-06-05,360.59,211.22
2006-06-06,320.09,182.81
2006-06-07,369.86,200.2
2006-06-08,300.82,169.62
2006-06-09,258.1,158.25
2006-06-12,182.03,102.61
2006-06-13,181.2,119.16
2006-06-14,173.52,110.73
2006-06-15,156.49,97.63
2006-06-16,186.49,121.47
2006-06-19,205.43,149.77
2006-06-20,205.68,125.03
2006-06-21,223.29,146.13
2006-06-22,182.41,120.0
2006-06-23,208.47,117.63
2006-06-26,237.93,137.31
2006-06-27,213.55,145.0
2006-06-28,185.82,129.43
2006-06-29,288.9,190.15
2006-06-30,284.54,176.81
2006-07-03,283.29,186.28
2006-07-04,325.52,205.82
2006-07-05,323.5,156.97
2006-07-06,298.16,174.1
2006-07-07,293.87,174.01
2006-07-10,,154.34
2006-07-11,242.42,165.16
2006-07-12,303.31,201.64
2006-07-13,393.51,252.31
2006-07-14,244.81,164.44
2006-07-17,197.23,128.57
2006-07-18,184.57,126.75
2006-07-19,204.76,130.68
2006-07-20,164.34,95.19
2006-07-21,165.72,98.89
2006-07-24,172.42,98.45
2006-07-25,194.59,113.02
2006-07-26,174.44,107.27
2006-07-27,205.69,116.25
2006-07-28,188.31,115.46
2006-07-31,194.5,110.73
2006-08-01,178.24,84.38
2006-08-02,149.6,92.04
2006-08-03,118.56,70.65
2006-08-04,143.4,78.8
2006-08-07,127.0,70.89
2006-08-08,121.9,70.87
2006-08-09,114.06,66.96
2006-08-10,137.89,78.01
2006-08-11,122.48,77.33
2006-08-14,136.89,77.38
2006-08-15,108.62,68.72
2006-08-16,152.34,96.65
2006-08-17,120.98,77.06
2006-08-18,116.52,63.92
2006-08-21,119.15,72.75
2006-08-22,150.46,83.99
2006-08-23,153.99,96.15
2006-08-24,135.23,79.75
2006-08-25,152.17,102.95
2006-08-28,214.96,129.13
2006-08-29,269.25,156.79
2006-08-30,171.34,109.18
2006-08-31,189.8,120.45
2006-09-01,196.38,121.48
2006-09-04,174.94,105.74
2006-09-05,218.22,117.18
2006-09-06,181.61,117.16
2006-09-07,174.42,95.28
2006-09-08,140.36,81.6
2006-09-11,167.11,98.33
2006-09-12,197.37,105.23
2006-09-13,225.86,109.14
2006-09-14,184.4,97.75
2006-09-15,240.08,107.05
2006-09-18,232.74,118.89
2006-09-19,223.54,124.51
2006-09-20,203.02,120.41
2006-09-21,210.07,120.23
2006-09-22,249.16,124.95
2006-09-25,220.58,113.23
2006-09-26,180.04,98.75
2006-09-27,160.24,92.38
2006-09-28,195.42,118.27
2006-09-29,229.06,138.1
2006-10-09,284.51,161.48
2006-10-10,309.8,162.79
2006-10-11,257.5,131.31
2006-10-12,277.88,152.11
2006-10-13,230.42,123.12
2006-10-16,245.25,128.57
2006-10-17,215.4,123.08
2006-10-18,201.23,125.55
2006-10-19,223.61,131.42
2006-10-20,233.32,142.07
2006-10-23,243.34,144.29
2006-10-24,222.73,126.28
2006-10-25,256.72,163.95
2006-10-26,253.32,128.4
2006-10-27,342.67,128.74
2006-10-30,229.22,122.24
2006-10-31,245.81,122.81
2006-11-01,268.76,138.99
2006-11-02,279.77,137.75
2006-11-03,264.56,134.88
2006-11-06,274.29,139.21
2006-11-07,315.16,154.76
2006-11-08,217.65,113.01
2006-11-09,254.45,121.91
2006-11-10,344.89,138.71
2006-11-13,274.69,129.91
2006-11-14,234.96,109.97
2006-11-15,265.77,129.33
2006-11-16,347.7,169.35
2006-11-17,272.82,139.05
2006-11-20,329.66,169.24
2006-11-21,322.88,163.31
2006-11-22,386.97,186.45
2006-11-23,344.5,161.22
2006-11-24,357.84,176.58
2006-11-27,351.5,174.74
2006-11-28,331.62,177.03
